iter	Passed	Remaining
445	1176	1461
446	1178	1457
447	1180	1454
448	1182	1450
449	1183	1446
450	1185	1442
451	1188	1440
452	1189	1436
453	1191	1432
454	1193	1429
455	1194	1425
456	1196	1421
457	1198	1417
458	1199	1413
459	1202	1412
460	1205	1409
461	1207	1406
462	1208	1402
463	1210	1398
464	1211	1394
465	1213	1390
466	1214	1386
467	1218	1385
468	1220	1381
469	1221	1377
470	1223	1374
471	1224	1370
472	1226	1366
473	1230	1365
474	1232	1362
475	1234	1359
476	1236	1355
477	1237	1351
478	1239	1348
479	1240	1344
480	1242	1340
481	1243	1336
482	1245	1333
483	1248	1331
484	1250	1328
485	1252	1325
486	1254	1321
487	1256	1317
488	1257	1314
489	1259	1310
490	1267	1313
491	1269	1311
492	1271	1307
493	1273	1304
494	1275	1301
495	1277	1297
496	1279	1294
497	1281	1292
498	1283	1288
499	1285	1285
500	1287	1281
501	1288	1278
502	1290	1274
503	1291	1271
504	1294	1268
505	1297	1266
506	1299	1263
507	1302	1261
508	1308	1261
509	1311	1260
510	1313	1256
511	1314	1253
512	1316	1249
513	1317	1245
514	1318	1242
515	1320	1238
516	1322	1235
517	1323	1231
518	1327	1230
519	1329	1227
520	1331	1224
521	1333	1221
522	1335	1217
523	1336	1214
524	1338	1210
525	1339	1207
526	1351	1212
527	1353	1210
528	1357	1208
529	1358	1204
530	1360	1201
531	1362	1198
532	1364	1195
533	1365	1191
534	1369	1190
535	1371	1187
536	1372	1183
537	1374	1180
538	1375	1176
539	1377	1173
540	1380	1171
541	1383	1168
542	1385	1165
543	1388	1164
544	1390	1161
545	1392	1157
546	1394	1154
547	1396	1151
548	1399	1149
549	1403	1148
550	1405	1145
551	1406	1141
552	1408	1138
553	1409	1135
554	1411	1131
555	1415	1130
556	1419	1128
557	1420	1125
558	1422	1122
559	1424	1118
560	1425	1115
561	1427	1112
562	1432	1111
563	1433	1108
564	1435	1105
565	1436	1101
566	1438	1098
567	1439	1094
568	1442	1092
569	1445	1090
570	1447	1087
571	1449	1084
572	1451	1081
573	1454	1079
574	1456	1076
575	1458	1073
576	1467	1075
577	1469	1073
578	1471	1069
579	1473	1066
580	1474	1063
581	1477	1061
582	1479	1057
583	1481	1055
584	1483	1052
585	1485	1049
586	1486	1046
587	1488	1042
588	1493	1042
589	1495	1039
590	1497	1036
591	1498	1032
592	1500	1029
593	1501	1026
594	1502	1022
595	1504	1019
596	1507	1017
597	1512	1016
598	1514	1013
599	1515	1010
600	1516	1007
601	1518	1003
602	1519	1000
603	1521	997
604	1524	995
605	1526	992
606	1529	990
607	1530	986
608	1532	983
609	1533	980
610	1535	977
611	1538	975
612	1542	973
613	1543	970
614	1545	967
615	1547	964
616	1549	961
617	1550	958
618	1554	957
619	1558	955
620	1560	952
621	1561	949
622	1564	946
623	1565	943
624	1569	941
625	1571	938
626	1572	935
627	1574	932
628	1576	929
629	1577	926
630	1579	923
631	1580	920
632	1585	918
633	1586	915
634	1587	912
635	1589	909
636	1590	906
637	1594	904
638	1597	902
639	1600	900
640	1602	897
641	1604	894
642	1606	891
643	1607	888
644	1610	886
645	1612	883
646	1615	881
647	1617	878
648	1619	875
649	1621	872
650	1622	869
651	1623	866
652	1625	863
653	1626	860
654	1632	860
655	1634	857
656	1636	854
657	1640	852
658	1642	849
659	1643	846
660	1647	844
661	1649	842
662	1651	839
663	1653	836
664	1656	834
665	1657	831
666	1658	828
667	1661	825
668	1662	822
669	1665	820
670	1668	818
671	1670	815
672	1672	812
673	1673	809
674	1676	807
675	1678	804
676	1680	801
677	1682	799
678	1684	796
679	1685	793
680	1687	790
681	1689	787
682	1691	785
683	1694	783
684	1696	780
685	1698	777
686	1700	774
687	1703	772
688	1708	771
689	1711	769
690	1713	766
691	1715	763
692	1716	760
693	1718	757
694	1719	754
695	1724	753
696	1725	750
697	1727	747
698	1730	745
699	1732	742
700	1733	739
701	1738	738
702	1740	735
703	1742	732
704	1744	729
705	1746	727
706	1747	724
707	1749	721
708	1751	719
709	1753	716
710	1755	713
711	1758	711
712	1760	708
713	1762	705
714	1765	703
715	1767	701
716	1768	698
717	1772	696
718	1773	693
719	1775	690
720	1776	687
721	1778	684
722	1782	682
723	1784	680
724	1786	677
725	1788	674
726	1789	672
727	1791	669
728	1793	666
729	1796	664
730	1798	661
731	1802	659
732	1803	656
733	1805	654
734	1806	651
735	1807	648
736	1809	645
737	1813	643
738	1814	640
739	1816	638
740	1818	635
741	1819	632
742	1824	631
743	1829	629
744	1831	626
745	1832	624
746	1834	621
747	1836	618
748	1837	615
749	1840	613
750	1842	610
751	1843	608
752	1846	605
753	1848	603
754	1849	600
755	1851	597
756	1853	594
757	1856	592
758	1858	589
759	1859	587
760	1861	584
761	1862	581
762	1864	579
763	1866	576
764	1867	573
765	1869	571
766	1872	568
767	1874	566
768	1879	564
769	1881	561
770	1882	559
771	1884	556
772	1887	554
773	1889	551
774	1890	548
775	1892	546
776	1894	543
777	1895	540
778	1898	538
779	1901	536
780	1903	533
781	1905	531
782	1907	528
783	1909	525
784	1911	523
785	1912	520
786	1914	518
787	1917	515
788	1919	513
789	1921	510
790	1922	508
791	1924	505
792	1927	503
793	1929	500
794	1930	497
795	1933	495
796	1935	492
797	1936	490
798	1941	488
799	1942	485
800	1944	482
801	1945	480
802	1951	478
803	1952	476
804	1954	473
805	1955	470
806	1958	468
807	1960	465
808	1962	463
809	1964	460
810	1966	458
811	1967	455
812	1971	453
813	1972	450
814	1974	448
815	1976	445
816	1980	443
817	1982	441
818	1987	439
819	1988	436
820	1990	433
821	1991	431
822	1993	428
823	1995	426
824	1996	423
825	1998	420
826	2001	418
827	2003	416
828	2005	413
829	2007	411
830	2011	409
831	2014	406
832	2015	404
833	2016	401
834	2018	398
835	2019	396
836	2021	393
837	2022	391
838	2025	388
839	2028	386
840	2030	383
841	2032	381
842	2033	378
843	2035	376
844	2036	373
845	2038	371
846	2041	368
847	2043	366
848	2045	363
849	2047	361
850	2048	358
851	2050	356
852	2053	353
853	2054	351
854	2057	348
855	2059	346
856	2061	344
857	2065	341
858	2067	339
859	2070	337
860	2074	334
861	2076	332
862	2078	330
863	2080	327
864	2081	324
865	2083	322
866	2086	320
867	2088	317
868	2090	315
869	2092	312
870	2094	310
871	2095	307
872	2100	305
873	2104	303
874	2106	300
875	2107	298
876	2109	295
877	2110	293
878	2111	290
879	2115	288
880	2118	286
881	2120	283
882	2122	281
883	2124	278
884	2126	276
885	2128	273
886	2129	271
887	2131	268
888	2134	266
889	2136	264
890	2137	261
891	2138	258
892	2140	256
893	2141	253
894	2143	251
895	2144	248
896	2145	246
897	2151	244
898	2152	241
899	2155	239
900	2156	236
901	2158	234
902	2160	232
903	2163	229
904	2165	227
905	2167	224
906	2168	222
907	2170	219
908	2171	217
909	2173	214
910	2174	212
911	2176	210
912	2179	207
913	2180	205
914	2182	202
915	2184	200
916	2186	197
917	2188	195
918	2189	192
919	2193	190
920	2195	188
921	2197	185
922	2199	183
923	2201	181
924	2203	178
925	2205	176
926	2208	173
927	2210	171
928	2215	169
929	2219	167
930	2221	164
931	2225	162
932	2227	159
933	2229	157
934	2232	155
935	2234	152
936	2235	150
937	2237	147
938	2240	145
939	2242	143
940	2246	140
941	2247	138
942	2249	136
943	2251	133
944	2254	131
945	2257	128
946	2259	126
947	2261	124
948	2262	121
949	2263	119
950	2265	116
951	2266	114
952	2270	111
953	2271	109
954	2273	107
955	2275	104
956	2276	102
957	2278	99
958	2279	97
959	2281	95
960	2286	92
961	2288	90
962	2289	87
963	2293	85
964	2294	83
965	2297	80
966	2300	78
967	2301	76
968	2303	73
969	2305	71
970	2307	68
971	2311	66
972	2312	64
973	2314	61
974	2318	59
975	2319	57
976	2323	54
977	2325	52
978	2326	49
979	2328	47
980	2329	45
981	2334	42
982	2336	40
983	2338	38
984	2339	35
985	2341	33
986	2343	30
987	2348	28
988	2350	26
989	2351	23
990	2353	21
991	2354	18
992	2356	16
993	2358	14
994	2362	11
995	2364	9
996	2366	7
997	2368	4
998	2370	2
999	2372	0
